support,itemset,GROUP_1,GROUP_2,HealthInsuranceCoverageRecode,HealthInsuranceCoverageRecode_group1,HealthInsuranceCoverageRecode_group2,HealthInsuranceCoverageRecode_div,length,support_count,condition
0.31412,"frozenset({'RelatedChild=no', 'Sex=Man', 'RaceEthnicity=White alone', 'Nativity=yes', 'WithADisability=no', 'CitizenshipStatus=Born in the U.S.'})",11428,15706,0.8816375907296574,0.8597304865243263,0.8816375907296574,0.02190710420533115,6,15706.0,True
0.31412,"frozenset({'RelatedChild=no', 'Sex=Man', 'RaceEthnicity=White alone', 'WithADisability=no', 'CitizenshipStatus=Born in the U.S.'})",11428,15706,0.8816375907296574,0.8597304865243263,0.8816375907296574,0.02190710420533115,5,15706.0,True
0.31334,"frozenset({'MaritalStatus=Never Married', 'Nativity=yes'})",6455,15667,0.8543435246058595,0.7652982184353214,0.8543435246058595,0.08904530617053807,2,15667.0,True
0.3071,"frozenset({'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Never Married', 'Nativity=yes'})",6324,15355,0.8556170628459785,0.7669196710942442,0.8556170628459785,0.0886973917517343,3,15355.0,True
0.3071,"frozenset({'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Never Married'})",6324,15355,0.8556170628459785,0.7669196710942442,0.8556170628459785,0.0886973917517343,2,15355.0,True
0.29948,"frozenset({'RaceEthnicity=White alone', 'Nativity=yes', 'MaritalStatus=Married'})",8386,14974,0.9334179244022973,0.9084187932268066,0.9334179244022973,0.024999131175490685,3,14974.0,True
0.29718,"frozenset({'Sex=Woman', 'WithADisability=no'})",4133,14859,0.8848509320950266,0.7732881684006775,0.8848509320950266,0.11156276369434914,2,14859.0,True
0.29714,"frozenset({'RelatedChild=no', 'RaceEthnicity=White alone', 'Nativity=yes', 'MaritalStatus=Married'})",8321,14857,0.9353166857373628,0.9111885590674198,0.9353166857373628,0.024128126669943017,4,14857.0,True
0.29622,"frozenset({'Region=South', 'WithADisability=no'})",8398,14811,0.7462021470528661,0.6476542033817576,0.7462021470528661,0.09854794367110853,2,14811.0,True
0.2938,"frozenset({'RaceEthnicity=White alone', 'CitizenshipStatus=Born in the U.S.', 'Nativity=yes', 'MaritalStatus=Married'})",8227,14690,0.934785568413887,0.9104169198978972,0.934785568413887,0.024368648515989855,4,14690.0,True
0.2938,"frozenset({'RaceEthnicity=White alone', 'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Married'})",8227,14690,0.934785568413887,0.9104169198978972,0.934785568413887,0.024368648515989855,3,14690.0,True
0.2933,"frozenset({'WithADisability=no', 'Sex=Man', 'MaritalStatus=Married'})",10934,14665,0.8670985339243096,0.8373879641485276,0.8670985339243096,0.029710569775782014,3,14665.0,True
0.29298,"frozenset({'WithADisability=no', 'Nativity=yes', 'MaritalStatus=Married'})",8331,14649,0.9263430950918151,0.9008522386268155,0.9263430950918151,0.0254908564649996,3,14649.0,True
0.29152,"frozenset({'RelatedChild=no', 'RaceEthnicity=White alone', 'Nativity=yes', 'MaritalStatus=Married', 'CitizenshipStatus=Born in the U.S.'})",8163,14576,0.9366767288693744,0.9131446772020091,0.9366767288693744,0.023532051667365272,5,14576.0,True
0.29152,"frozenset({'RelatedChild=no', 'RaceEthnicity=White alone', 'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Married'})",8163,14576,0.9366767288693744,0.9131446772020091,0.9366767288693744,0.023532051667365272,4,14576.0,True
0.2914,"frozenset({'RelatedChild=no', 'Region=South'})",8915,14570,0.7614962251201098,0.6825574873808189,0.7614962251201098,0.07893873773929094,2,14570.0,True
0.29078,"frozenset({'RelatedChild=no', 'WithADisability=no', 'Nativity=yes', 'MaritalStatus=Married'})",8253,14539,0.9289497214388885,0.904156064461408,0.9289497214388885,0.024793656977480594,4,14539.0,True
0.29028,"frozenset({'RelatedChild=no', 'WithADisability=no', 'Sex=Man', 'MaritalStatus=Married'})",10813,14514,0.8710899820862615,0.841672061407565,0.8710899820862615,0.02941792067869653,4,14514.0,True
0.28572,"frozenset({'WithADisability=no', 'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Married'})",8119,14286,0.9275514489710206,0.9026973765242025,0.9275514489710206,0.024854072446818143,3,14286.0,True
0.28572,"frozenset({'WithADisability=no', 'CitizenshipStatus=Born in the U.S.', 'Nativity=yes', 'MaritalStatus=Married'})",8119,14286,0.9275514489710206,0.9026973765242025,0.9275514489710206,0.024854072446818143,4,14286.0,True
0.28392,"frozenset({'WithADisability=no', 'MaritalStatus=Never Married', 'Nativity=yes'})",5814,14196,0.8539025077486616,0.7640178878568972,0.8539025077486616,0.08988461989176444,3,14196.0,True
0.28356,"frozenset({'RelatedChild=no', 'WithADisability=no', 'Nativity=yes', 'MaritalStatus=Married', 'CitizenshipStatus=Born in the U.S.'})",8043,14178,0.9301029764423755,0.9058808902150939,0.9301029764423755,0.024222086227281614,5,14178.0,True
